Selection_Method,Feature_Name,Rank,Selection_Type
Mann-Whitney,odor_n,1,Statistical
Mann-Whitney,odor_f,2,Statistical
Mann-Whitney,ring-type_p,3,Statistical
Mann-Whitney,stalk-surface-above-ring_k,4,Statistical
Mann-Whitney,stalk-surface-below-ring_k,5,Statistical
Rank-sum,odor_n,1,Statistical
Rank-sum,odor_f,2,Statistical
Rank-sum,ring-type_p,3,Statistical
Rank-sum,stalk-surface-above-ring_k,4,Statistical
Rank-sum,stalk-surface-below-ring_k,5,Statistical
Kruskal,odor_n,1,Statistical
Kruskal,odor_f,2,Statistical
Kruskal,stalk-surface-above-ring_k,3,Statistical
Kruskal,stalk-surface-below-ring_k,4,Statistical
Kruskal,ring-type_p,5,Statistical
Chi-square,odor_n,1,Statistical
Chi-square,stalk-surface-above-ring_k,2,Statistical
Chi-square,stalk-surface-below-ring_k,3,Statistical
Chi-square,ring-type_p,4,Statistical
Chi-square,gill-size_b,5,Statistical
KS,odor_n,1,Statistical
KS,odor_f,2,Statistical
KS,ring-type_p,3,Statistical
KS,stalk-surface-above-ring_k,4,Statistical
KS,stalk-surface-below-ring_k,5,Statistical
Integrated-SelectFromModel (L1-LR selector) + LR,bruises_f,1,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,bruises_t,2,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-color_b,3,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-color_c,4,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-color_e,5,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-color_g,6,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-color_n,7,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-color_p,8,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-color_r,9,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-color_u,10,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-color_w,11,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-color_y,12,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-shape_b,13,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-shape_c,14,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-shape_f,15,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-shape_k,16,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-shape_s,17,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-shape_x,18,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-surface_f,19,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-surface_g,20,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-surface_s,21,Integrated
Integrated-SelectFromModel (L1-LR selector) + LR,cap-surface_y,22,Integrated
